Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
GRASIM,2025-03-03T07:51:43Z,"Top gainers & losers Intraday March 3, 2025: IT, auto stocks show resilience amid market volatility","Top gainers of Nifty 50 include Bharat Electronics, UltraTech Cement, Grasim Industries, Eicher Motors, and Wipro; market remains volatile.",0.7003,Positive,https://www.thehindubusinessline.com/markets/stock-markets/top-gainers-losers-intraday-march-3-2025-it-auto-stocks-show-resilience-amid-market-volatility/article69284889.ece
GRASIM,2025-03-03T07:25:25Z,Markets slip further as selling intensifies; declines outnumber advances 5:1,"The BSE Sensex fell 189.19 points or 0.26 per cent to 73,008.91, while the NSE Nifty declined 48.15 points or 0.22 per cent to 22,076.55 as of 12.30 PM",-0.296,Negative,https://www.thehindubusinessline.com/markets/stock-markets/markets-slip-further-as-selling-intensifies-declines-outnumber-advances-51/article69284800.ece
GRASIM,2025-03-03T04:32:35Z,Markets open mixed amid global cues; Auto sector gains while banking falls,"The market sentiment remains cautious following last week’s sharp correction that saw the Nifty drop nearly 3 per cent and the Sensex fall over 2,000 points",0.3818,Positive,https://www.thehindubusinessline.com/markets/markets-open-mixed-amid-global-cues-auto-sector-gains-while-banking-falls/article69284346.ece
GRASIM,2025-03-01T16:12:50Z,"Polycab, RR Kabel, Finolex, KEI Industries, Havells: How UltraTech short circuited cable stocks","UltraTech’s ₹1,800 crore capex plan resulted in ₹31,000 crore of wealth destruction for investors of cable stocks",-0.128,Negative,https://www.thehindubusinessline.com/portfolio/stock-fundamental-analysis-india/polycab-rr-kabel-finolex-kei-industries-havells-how-ultratech-short-circuited-cable-stocks/article69275975.ece
GRASIM,2025-02-28T07:33:08Z,Aditya Birla’s next big bet: Can UltraTech shake up wires & cables like Grasim did with paints?,"Aditya Birla Group rattled the paints industry with an aggressive pricing play. Now, UltraTech is making a  ₹1,800 crore push into wires and cables—raising questions about competition, margins, and its broader expansion strategy.",0.25,Positive,https://www.livemint.com/companies/news/ultratech-wires-cables-aditya-birla-group-expansion-ultratech-new-investment-india-wires-cables-market-polycab-kei-ind-11740715406732.html
GRASIM,2025-02-27T17:27:12Z,"Women need to end guilt over professional-personal balance: Vishakha Mulye, ET Businesswoman of the Year","Vishakha Mulye, CEO of Aditya Birla Capital Ltd, emphasizes that women should overcome guilt over balancing work and family. Under her leadership, ABCL has seen significant growth, doubling its loan book and AUM. Mulye credits market opportunities and strateg…",0.8442,Positive,https://economictimes.indiatimes.com/jobs/mid-career/women-need-to-end-guilt-over-professional-personal-balance-vishakha-mulye-md-ceo-at-abcl/articleshow/118609619.cms
GRASIM,2025-02-27T13:26:19Z,Broker’s call: UltraTech Cement (Buy),"UltraTech Cement enters wires and cables segment with ₹1,800 crore capex, aiming for EBITDA accretion and future growth.",0.3818,Positive,https://www.thehindubusinessline.com/markets/brokers-call-ultratech-cement-buy/article69270522.ece
GRASIM,2025-02-27T08:44:36Z,"Birla pulls wire, shock pulses through stocks. What's ahead?","UltraTech Cement is entering India's wires and cables sector with a Rs 1,800 crore investment. The move is aimed at strengthening its position as a comprehensive building solutions provider. This entry may cause margin pressure for existing players due to Ult…",0.2732,Positive,https://economictimes.indiatimes.com/news/company/corporate-trends/birla-pulls-wire-shock-pulses-through-stocks-whats-ahead/articleshow/118599387.cms
GRASIM,2025-02-27T06:57:48Z,"Polycab, KEI, Havells shares short-circuited. Is this Birla’s next paint-style disruption?","UltraTech Cement’s unexpected investment in the wires and cables sector with a ₹1,800 crore capex plan has caused shares of major players like Polycab, KEI, and Havells to plummet. This move raises concerns of potential market disruption and industry-wide mar…",0.128,Positive,https://economictimes.indiatimes.com/markets/stocks/news/polycab-kei-havells-share-short-circuited-is-this-birlas-next-paint-style-disruption/articleshow/118596652.cms
GRASIM,2025-02-27T05:45:51Z,Stock market update: Stocks that hit 52-week lows on NSE,"UltraTech Cem.,  Grasim Inds.,  Trent,  Bajaj Auto and  Hero MotoCorp were among the top losers on NSE.",0.6249,Positive,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/118594633.cms
